"",Requests**,MDDE + Ship  Remaining Req  Base + OCO +  MDDE + Ship,Base + OCO +
"",Emergency,RepairsEmergencyEmergency**Repairs,Emergency
"",,,
Summary Recap of FYDP Programs,,,
"",,,
Strategic Forces,,"1,026,773","1,026,773"
"",,,
General Purpose Forces,,"5,458,903","5,458,903"
"",,,
Intelligence and Communications,"90,500","-90,5003,303,819-90,500","3,213,319"
"",,,
Mobility Forces,,"602,629","602,629"
"",,,
Research and Development,"972,300","-972,30049,155,390-972,300","48,183,090"
"",,,
Central Supply and Maintenance,,"218,025","218,025"
"",,,
Training Medical and Other,,"48,115","48,115"
"",,,
Administration and Associated Activities,,"-9,935,581","-9,935,581"
"",,,
Support of Other Nations,,"4,569","4,569"
"",,,
Special Operations Forces,,"638,749","638,749"
"",,,
Space,"14,000","-14,0003,340,243-14,000","3,326,243"
"",,,
Classified Programs,"269,864","-269,86420,730,764-269,864","20,460,900"
"",,,
"Total Research, Development, Test & Evaluation","1,346,664","-1,346,66474,592,398-1,346,664","73,245,734"
"",,,
"",,,
Summary Recap of Non-RDT&E Title FYDP Programs,,,
"",,,
Mobility Forces,,"18,622","18,622"
"",,,
Research and Development,,"673,215","673,215"
"",,,
Central Supply and Maintenance,,"839,414","839,414"
"",,,
Administration and Associated Activities,,"2,800","2,800"
"",,,
"Total Research, Development, Test & Evaluation",,"1,534,051","1,534,051"
